ABRAKONTE	Lasithi Crete
ΜΕΓ. ΓΟΤΙΣΤΑ	Megali Gotista Ioannina
ΜΕΓ. ΧΩΡΙΟΝ ΤΗΛ	
ΜΕΓ.ΒΑΛΤΟΣ	Megalos Valtos
ΜΕΓ.ΒΡΥΣ	Megali Vrisi Iraklio
ΜΕΓ.ΒΡΥΣΗ	Megali Vrisi Iraklio
ΜΕΓ.ΔΟΞΙΠΑΡΑ	Megali Doxipara
ΜΕΓ.ΔΟΥΚΑΤΟ	
ΜΕΓ.ΚΑΛΥΒΙΑ	Megala Kalyvia
ΜΕΓ.ΚΕΡΑΣΕΑ	Megali Kerasia
ΜΕΓ.ΚΕΡΑΣΕΑΣ	Megali Kerasia
ΜΕΓ.ΚΕΦΑΛΟΒΡΥΣΟ	Megalo Kefalovriso
ΜΕΓ.ΚΡΑΝΟΒΟΥΝΙΟ	
ΜΕΓ.ΜΟΝΑΣΤΗΡΙΟΝ	Megalo Monastiri
ΜΕΓ.ΠΑΝΑΓΙΑ	Megali Panagia
ΜΕΓ.ΣΕΙΡΗΝΙΟΝ	Megalo Seirini
ΜΕΓ.ΣΤΕΡΝΑ	Megali Sterna
ΜΕΓ.ΧΩΡΙΟ	Megalo Chorio
ΜΕΓΑΛΟΧΩΡΙΟΝ ΘΗ	
ΜΕΛΙΔΟΝΙΟΝ ΡΕΘΥ	Melidoni Rethimno
ΜΕΛΙΣΟΚΟΜΕΙΟΝ	Melissokomio
ΜΕΛΙΣΣΙ ΞΥΛΟΚΑΣΤΡΟΥ	Melissi Xilokastro
ΜΕΛΙΣΣΟΧ	
ΜΕΛΙΣΣΟΧΩΡΙΟΝ Β	
ΜΕΛΙΣΣΟΧΩΡΙΟΝ Λ	
ΜΕΛΙΣΣΟΧΩΡΙΟΝ ΛΑΡΙΣ	Melissochori Larisa
ΜΕΝΙΔΙΟΝ	Menidi
ΜΕΝΤΟΥΛΙ	
ΜΕΣ.ΤΡΙΚΑΛΑ	
ΜΕΣΑ ΔΙΔΥΜΑΣ	Mesa Didima Chios
ΜΕΣΑΙΑ ΤΡΙΚΑΛΑ	
ΜΕΣΑΙΟΝ	Mesaio
ΜΕΣΑΡΙΣΤΑΣ	Mesarista
ΜΕΣΗΜΕΡΙΟΝ	Mesimeri
ΜΕΣΗΜΕΡΙΟΥ	
ΜΕΣΙΝΟΝ	Mesino Korinthia
ΜΕΣΟΒΟΥΝΙΟΝ	Mesovouni
ΜΕΣΟΓΕΙΑ	
ΜΕΣΟΛΟΓΓΙΟΝ	Missolonghi
ΜΕΣΟΥΝΗ	
ΜΕΣΟΧΩΡΙ ΚΛΕΙΣΤΟΥ	
ΜΕΣΟΧΩΡΙΟ	Mesochori Larisa
ΜΕΣΣΑΡΙΑ	Messarias Athens
ΜΕΣΣΑΡΙΑ ΘΗΡΑΣ	
ΜΕΣΤΩΝ	
ΜΕΣΩ ΒΟΛΙΜΕΣ	
ΜΕΤΑΓΓΙΤΣΙ	
ΜΕΤΑΓΚΙΤΣΙΟΝ	
ΜΕΤΟΧΙ ΔΙΡΦΥΩΝ	
ΜΕΤΟΧΙΟΝ	Metochi Kimi
ΜΕΤΟΧΙΟΝ ΔΙΡΦΥΩ	
ΜΕΤΟΧΙΟΝ ΠΡΟΔΡΟ	
ΜΗΛΕΑ (ΖΑΧΑΡΩΣ)	
ΜΗΛΕΑ ΦΙΛΙΑΤΩΝ	
ΜΗΛΙΑ ΜΕΤΣΟΒΟΥ	Milea Metsovo
ΜΗΛΙΑ ΝΕΣΤΑΝΗΣ	
ΜΗΛΙΑΔΙ	
ΜΗΛΙΕΣ ΖΑΧΑΡΩΣ	
ΜΗΤΡΟΠΟΛΙΣ	Mitropoli Karditsa
ΜΙΚ. ΓΟΤΙΣΤΑ	Mikri Gotista Metsovo
ΜΙΚ. ΠΕΡΙΣΤΕΡΙΟ	Mikro Peristeri Metsovo
ΜΙΚ.ΒΑΛΤΟΣ	Mikros Valtos Korinthia
ΜΙΚ.ΔΕΡΕΙΟ	Mikro Dereio Evros
ΜΙΚ.ΚΡΑΝΟΒΟΥΝΙΟ	Mikro Kranovouni Rodopi
ΜΙΚ.ΜΑΝΤΙΝΕΙΑ	Mikri Mantineia Messenia
ΜΙΚ.ΠΑΛΛΑΔΙΟ	Mikro Palladio Rodopi
ΜΙΚ.ΠΙΣΤΟ	Mikro Pisto Rodopi
ΜΙΚ.ΤΥΜΠΑΝΟ	Mikro Timpano Xanthi
ΜΙΚΡΟΛΙΜΝΗΣ	Mikrolimni
ΜΙΚΡΟΠΟΛΙΣ	Mikropoli
ΜΙΤΟΠΟΛΙΣ	
ΜΙΧΟΙ	
ΜΙΧΟΙΟΝ	Michio Achaia
ΜΟΔΙΟΝ	Modi Fthiotida
ΜΟΙΡΑΙ	Mires Iraklio
ΜΟΛΥΒΔΟΣΚΕΠΑΣΤΟ	
ΜΟΝΑΣΤΗΡΙΟΝ ΜΕΣ	
ΜΟΝΟΔΡΥ	Monodrio Evia
ΜΟΝΟΔΡΥΟΝ	Monodrio Evia
ΜΟΡΙΑΣ	Moria Lesvos
ΜΟΡΦΑΤΙ	
ΜΟΣΧΟΧΩΡΙΟΝ ΦΘΙ	Moschochori Fthiotida
ΜΟΥΔΡΟ	
ΜΟΥΛΚΙΟΝ	Moulki Korinthia
ΜΟΥΡΙΚΙΟΝ	Mouriki Viotia
ΜΟΥΡΤΙΑΣ	Mirtia Lakonia
ΜΠΙΣΧΙΝΟΚΑΜΠΟΣ	
ΜΠΟΖΙΚΑ	
ΜΠΟΝΤΑΙΙΚΑ	Mponteika Achaia
ΜΠΟΥΛΙΑΡΙ	
ΜΥΚΗΝΑΙ	Mykines
ΜΥΡΙΝΗ	
ΜΥΡΙΟΦΥΤΟΝ	Miriofito Kilkis
ΜΥΡΤΕΑ	Myrtia Heraklion
ΜΥΡΤΙΔΙΑ	
ΜΥΣΤΕΓΝΑ	
ΜΩΡΑΙΤΙΚΑ	
Ν.ΑΒΩΡΑΝΗΣ	Neas Avoranis Agrinio
Ν.ΑΓ.ΑΘΑΝΑΣΙΟΣ	Neos Agios Athanasios Pella
Ν.ΑΓΑΘΟΥΠΟΛΗ	Nea Agathoupoli Pieria
Ν.ΑΓΑΘΟΥΠΟΛΙΣ	Nea Agathoupoli Pieria
Ν.ΑΓΙΟΝΕΡΙΟΝ	Neo Agioneri Kilkis
Ν.ΑΓΧΙΑΛΟΣ	Nea Anchialos Thessaly
Ν.ΑΔΡΙΑΝΗ	
Ν.ΑΛΙΚΑΡΝΑΣΣΟΣ	Nea Alikarnassos Heraklion
Ν.ΑΠΟΛΛΩ	Nea Apollonia Thessaloniki
Ν.ΑΠΟΛΛΩΝΙΑ	Nea Apollonia Thessaloniki
Ν.ΑΡΤΑΚΗ	Nea Artaki Euboea
Ν.ΒΡΑΣΝΑ	Nea Vrasna Thessaloniki
Ν.ΒΡΥΣΟΥΛΕΣ	Nees Vrisoules Korinthia
Ν.ΒΥΣΣΑ	Nea Vyssa Evros
Ν.ΓΥΝΑΙΚΟΚΑΣΤΡΟ	Neo Ginekokastro Kilkis
Ν.ΔΡΟΜΟΥ	
Ν.ΕΚΚΛΗΣΟΥΛΑ	Nea Ekklisoula Arcadia
Ν.ΕΠΙΒΑΤΑΙ	Neoi Epivates Thessaloniki
Ν.ΕΠΙΒΑΤΕΣ	Neoi Epivates Thessaloniki
Ν.ΕΠΙΒΑΤΩΝ	Neoi Epivates Thessaloniki
Ν.ΕΡΑΣΜΙΟΝ	Neo Erasmio Xanthi
Ν.ΕΡΙΝΕΟΣ	Neos Erineos Achaia
Ν.ΕΦΕΣΟΣ	Nea Efesos Pieria
Ν.ΕΦΕΣΣΟΣ	Nea Efesos Pieria
Ν.ΖΙΧΝΗ	Nea Zichni Serres
Ν.ΗΡΑΙΟΝ	Neo Ireo Argolida
Ν.ΗΡΑΚΛΙΤΣΑ	Nea Iraklitsa Kavala
Ν.ΙΚΟΝΙΟ	Neo Ikonio Karditsa
Ν.ΚΑΙΣΑΡΕΙΑ	
Ν.ΚΑΛΛΙΣΤΗ	Nea Kallisti Rodopi
Ν.ΚΑΡΒΑΛΗ	Nea Karvali Kavala
Ν.ΚΑΡΥΑ	Nea Karia Kavala
Ν.ΚΑΥΚΑΣΟΣ	Neos Kafkasos Florina
Ν.ΚΑΥΚΑΣΟΥ	
Ν.ΚΕΡΑΜΙΔΙ	Neo Keramidi Pieria
Ν.ΚΕΡΑΣΙΑ	Nea Kerasia Thessaloniki
Ν.ΚΕΡΔΥΛΙΑ	Nea Kerdilia Serres
Ν.ΚΕΣΣΑΝΗ	Nea Kessani Xanthi
Ν.ΚΙΟΣ	Nea Kios Argolis
Ν.ΚΟΜΠΗΓΑΔΙΟΝ	Neo Kompigadi Achaia
Ν.ΚΟΥΤΑΛΗ	Nea Koutali Lemnos
Ν.ΛΑΜΨΑΚΟΣ	Nea Lampsakos Evia
Ν.ΛΕΥΚΗ	Nea Lefki Larisa
Ν.ΛΥΚΟΓΙΑΝΝΗ	Nea Likogianni Imathia
Ν.ΜΑΓΝΗΣ	ΝΕΑ ΜΑΓΝΗΣΙΑ, Ελλάδα
ΝΕΑ ΜΑΓΝΗΣΙ	ΝΕΑ ΜΑΓΝΗΣΙΑ, Ελλάδα
Ν.ΜΑΚΡΙΣΗ	Nea Makrisi Fthiotida
Ν.ΜΑΛΓΑΡΑ	Nea Malgara Thessaloniki
Ν.ΜΑΝΩΛΑΔΑ	Nea Manolada Elis
Ν.ΜΑΡΜΑΡΑΣ	Neos Marmaras Halkidiki
Ν.ΜΕΣΗΜΒΡΙΑ	Nea Mesimvria Thessaloniki
Ν.ΜΕΣΟΛΑΚΚΙΑ	Nea Mesolakkia Serres
Ν.ΜΗΧΑΝΙ	
Ν.ΜΗΧΑΝΙΩΝΑ	Nea Michaniona Thessaloniki
Ν.ΜΗΧΑΝΙΩΝΑΣ	Nea Michaniona Thessaloniki
Ν.ΜΙΚΡΟ ΧΩΡΙΟ	Neo Mikro Chorio Evritania
Ν.ΜΠΑΦΡΑ	Nea Mpafra Serres
Ν.ΜΥΛΟΤΟΠΟΣ	Neos Milotopos Pella
Ν.ΝΙΚΟΜΗΔΕΙΑ	Nea Nikomidia Imathia
Ν.ΝΙΚΟΠΟΛΗ	Nea Nikopoli Kozani
Ν.ΠΑΓΑΣΑΙ	Nees Pagases Magnisia
Ν.ΠΑΓΩΝΤΑΣ	Neos Pagontas Evia
Ν.ΠΕΡΑΜΟΣ	Nea Peramos Attica
Ν.ΠΕΡΙΒΟΛΙ	Neo Perivoli Larisa
Ν.ΠΕΡΙΒΟΛΙΟΝ	Neo Perivoli Larisa
Ν.ΠΕΤΡΑ	Nea Petra Serres
Ν.ΠΟΡΟΙ	Nei Pori Pieria
Ν.ΠΟΤΕΙΔΑΙΑ	Nea Poteidaia Halkidiki
Ν.ΠΟΤΙΔΕΑ	Nea Poteidaia Halkidiki
Ν.ΠΡΟΔΡΟΜΟΣ	Neos Prodromos Imathia
Ν.ΡΑΙΔΕΣΤΟΥ	
Ν.ΡΟΔΑ	Nea Roda Halkidiki
Ν.ΡΟΕΙΝΟΝ	Neo Roino Argolida
Ν.ΡΥΣΙΟΥ	
Ν.ΣΕΛΕΥΚΕΙΑ	Nea Selefkia Thesprotia
Ν.ΣΙΔΗΡΟΧΩΡΙΟ	Neo Sidirochori Komotini
Ν.ΣΙΔΗΡΟΧΩΡΙΟΝ	Neo Sidirochori Komotini
Ν.ΣΙΝΑΣΣΟΣ	Nea Sinasos Euboea
Ν.ΣΙΝΩΠΗ	Nea Sinopi Preveza
Ν.ΣΚΙΩΝΗ	Nea Skioni Halkidiki
Ν.ΣΚΟΠΟΣ	Neos Skopos Serres
Ν.ΣΟΥΛΙ	Neo Souli Serres
Ν.ΣΟΥΛΙΟΝ	Neo Souli Serres
Ν.ΣΤΥΡΑ	Nea Stira Evia
Ν.ΣΥΛΑΤΑ	Nea Silata Chalkidiki
Ν.ΣΦΗΝΩΤΟΝ	Neo Sfinoto Preveza
Ν.ΤΕΝΕΔΟΣ	Nea Tenedos Chalkidiki
Ν.ΤΙΡΥΝΣ	
Ν.ΤΡΑΠΕΖΟΥΝΤΑ	Nea Trapezounta Pieria
Ν.ΤΡΑΠΕΖΟΥΣ	Nea Trapezounta Pieria
Ν.ΤΥΡΟΛΟΗ	Nea Tiroloi Serres
Ν.ΦΙΓΑΛΕΙΑ	Nea Figaleia Zacharo
Ν.ΦΩΚΑΙΑ	Nea Fokea Chalkidiki
Ν.ΧΑΛΕΠΗ	
Ν.ΧΑΡΑΥΓΗ	Nea Charavgi Kozani
Ν.ΧΕΙΜΩΝΙΟΝ	Neo Cheimonio Evros
Ν.ΧΩΡΑ	Nea Chora Arkadia
ΝΑΥΠΛΙΕΩΝ	
ΝΕΑ  ΧΡΥΣΑ	
ΝΕΑΙ ΠΑΓΑΣΑΙ	Nees Pagases Magnisia
ΝΕΟΝ ΧΩΡΙΟΝ ΑΠΟ	
ΝΕΟΧΩΡΙ  ΛΥΚ.	
ΝΕΟΧΩΡΙ ΔΟΜΟΚΟΥ	
ΝΕΟΧΩΡΙ ΘΕΣΠΡΩΤ.	Neochori Thesprotia
ΝΕΟΧΩΡΙ ΙΘΩΜΗΣ	
ΝΕΟΧΩΡΙ ΛΕΥΚΤΡΟΥ	Neochori Lefktro
ΝΕΟΧΩΡΙ ΛΥΚΟΣΟΥΡΑΣ	
ΝΕΟΧΩΡΙ ΝΑΥΠ	
ΝΕΟΧΩΡΙΟ ΑΡΙΣΤΟΜΕΝΗ	
ΝΕΟΧΩΡΙΟ ΙΘΩΜΗΣ	
ΝΕΟΧΩΡΙΟΜ ΦΑΛΑΙ	
ΝΕΟΧΩΡΙΟΝ ΓΟΡΤΥ	Neochori Gortynia
ΝΕΟΧΩΡΙΟΝ ΔΟΜΟΚ	
ΝΕΟΧΩΡΙΟΝ ΘΕΣΠΙ	
ΝΕΟΧΩΡΙΟΝ ΘΕΣΠΡ	Neochori Thesprotia
ΝΕΟΧΩΡΙΟΝ ΚΑΡΔΙ	Neochori Karditsa
ΝΕΟΧΩΡΙΟΝ ΜΑΝΤΙ	
ΝΕΟΧΩΡΙΟΝ ΜΥΡΤΟ	
ΝΕΟΧΩΡΙΟΝ ΟΛΥΜΠ	
ΝΕΟΧΩΡΟΥ	
ΝΕΣΤΟΡΙΟΝ	Nestorio
ΝΕΥΡ/ΠΙ	
ΝΕΩΧΩΡΙ ΖΑΧΑΡΩΣ	Neochori Zacharo
ΝΗΜΠΟΡΙΟ	
ΝΗΣΕΛΙ	
ΝΗΣΙ ΤΡΙΚΕΡΙ	Trikeri Nisi
ΝΗΣΙ-ΑΓ ΠΑΡΑΣΚΕΥΗ	Agia Paraskevi Kerkira
ΝΙΘΑΥΡΙΣ	Nithafri Rethimno
ΝΙΚΑΣΙ	
ΝΙΚΟΛΙΤΣΙΟΥ	
ΝΙΟΚΑΣΤΡΟ	
ΝΙΟΧΩΡΙΟ Α	
ΝΙΟΧΩΡΙΟ ΑΠ	
ΝΜ.ΜΗΛΙΑ	
ΝΟΜΙΤΣΙ	
ΝΟΣΤΙΜΟΝ	Nostimo Kastoria
ΝΤΟΜΑΤΑ	
Ξ.ΝΕΡΟ	Xino Nero Florina
ΞΑΜΟΥ/ΡΙ	
ΞΗΡΟΚΑΜΠΟΣ ΚΡΥΟΠΗΓΗΣ	
ΞΗΡΟΚΑΡΥΤΑΙΝΑ	
ΞΗΡΟΠΟΤΑ	
ΞΥΛΟΠΟΛΙΣ	Xylopoli Thessaloniki
ΞΥΛΟΥΠΟΛΙΣ	
ΞΥΝΟΝΕΡΙ	
ΞΥΝΟΝΕΡΙΟ	
ΟΙΝΟΥΣΑ	Inousa Serres
ΟΙΝΟΥΣΣΑΙ	Inousses Chios
ΟΛΒΙΟΝ	Olvio Xanthi
ΟΛΥΜΠΩΝ	
ΟΡ. ΑΜΥΝΤΑΙΟΥ	
ΟΡ.ΑΝΑΡΓΥΡΩΝ	
ΟΡ.ΚΑΡΔΙΑΣ	
ΟΡ.ΝΟΤ.ΠΕΔΙΟΥ	
ΟΡΕΣΤΙΑΣ	Orestias Evros
ΟΡΙΟΝ	Orio Evia
ΟΡΜΟΣ ΙΟΥ	
ΟΡΥΧΕΙΑ	
ΟΡΦΑΝΙ	
ΟΡΦΑΝΙO	
ΟΡΦΑΝΙΟΝ	
ΟΡΧΟΜΕΝΟ	
ΟΣΜΑΕΣ	
ΟΣΥΤΕ	
ΟΧΘΩΝΙΑ	
Π. ΛΥΚΟΓΙΑΝΝΗ	Palea Likogianni Imathia
Π. ΜΑΝΩΛΑΔΑ	
Π. ΠΛΑΤΑΝΟΥ	
Π. ΣΚΥΛΙΤΣΙ	
Π.ΑΓΙΟΝΕΡΙΟΝ	Paleo Agioneri Kilkis
Π.ΕΛΕΥΘΕΡΟΧΩΡΙ	Palaio Eleftherochori Pieria
Π.ΕΛΕΥΘΕΡΟΧΩΡΙΟ	Palaio Eleftherochori Pieria
Π.ΘΕΡΜΗΣ	
Π.ΚΕΡΑΜΙΔΙ	Palaio Keramidi Pieria
Π.ΚΕΡΑΜΙΔΙΟΝ	Palaio Keramidi Pieria
Π.ΛΥΚΟΓΙΑΝΝΗ	Palea Likogianni Imathia
Π.ΜΑΝΩΛΑΔΑ	
Π.ΜΥΛΟΤΟΠΟΣ	Paleos Milotopos Pella
Π.ΠΑΝΤΕΛΕΗΜΩΝ	Palaios Panteleimonas Pieria
Π.ΣΚΥΛΙΤΣΙ	Paleo Skillitsi Imathia
Π.ΣΚΥΛΛΙΤΣΙΟΝ	Paleo Skillitsi Imathia
ΠΑΓΚΡΑΤΙΟΝ	Pangrati Athens
ΠΑΛ.ΓΙΑΝΝΙΤΣΟΥ	Palea Giannitsou
ΠΑΛ.ΠΑΝΤΕΛΕΗΜΩΝ	Palaios Panteleimonas Pieria
ΠΑΛ/ΚΑΡΥΑΣ	Paleokaria Etoloakarnania
ΠΑΛΑΙΑ ΜΑΝΩΛΑΔΑ	
ΠΑΛΑΙΟΚ/ΤΡΟ	
ΠΑΛΑΙΟΚΑΣΤΡΟΝ	Paleokastro Kozani
ΠΑΛΑΙΟΚΑΣΤΡΟΝ Λ	Paleokastro Larisa
ΠΑΛΑΙΟΚΑΣΤΡΟΝ Σ	Paleokastro Samos
ΠΑΛΑΙΟΚΑΣΤΡΟΝ Φ	
ΠΑΛΑΙΟΜ/ΝΑΣ	
ΠΑΛΑΙΟΠΥΡΓΟΣ ΛΑ	Paleopirgos Larisa
ΠΑΛΑΙΟΧ. ΜΠΟΤΣΑ	
ΠΑΛΑΙΟΧ.ΓΑΡΔ	
ΠΑΛΑΙΟΧΩΡΙ ΨΙΑΝΩΝ ΕΥΡΥΤΑΝΙΑΣ	Paleochori Domnista Evritania
ΠΑΛΑΙΟΧΩΡΙΟΝ ΔΩ	
ΠΑΛΑΙΟΧΩΡΙΟΝ ΗΛ	Palaiochori Elis
ΠΑΛΑΙΟΧΩΡΙΟΝ ΚΥ	Paleochori Notia Kinouria
ΠΑΛΑΜΑΣ ΔΟΜΟΚΟΥ	Palamas Domokos
ΠΑΛΗΟ	
ΠΑΛΙΟΜΟΙΡΙ	
ΠΑΛΙΟΣ ΖΥΓΟΣ	
ΠΑΛΙΟΥΡΙ  ΔΙΜΗΝΙΟΥ	
ΠΑΝ.ΚΑΛΑΜΙΩΤΙΣΣΑ	Panagia Kalamiotissa Viotia
ΠΑΝΑΓΙΑ ΜΟΝΟΦ.	
ΠΑΝΑΓΙΤΣΑ ΦΘΙΩΤ	Panagitsa Fthiotida
ΠΑΝΑΚΤΟΣ	Panakto Viotia
ΠΑΝΑΡΙΤΗΣ	Panariti Argolida
ΠΑΝΑΡΙΤΙΟΥ	
ΠΑΝΟΠΟΥΛΟ	Panopoulos Ilia
ΠΑΝΤΑΝ/ΣΑΣ	
ΠΑΝΤΟΚΡΑΤΟΡΑΣ	
ΠΑΞΙΜΑΔΑ	
ΠΑΠΑΔΑΤΕΣ	
ΠΑΠΑΔΆΤΕΣ	
ΠΑΠΑΔΑΤΟ	
ΠΑΠΑΔΑΤΟΣ	
ΠΑΠΑΔΟΣ	
ΠΑΠΑΡΗ	
ΠΑΠΑΡΙ	
ΠΑΠΙΓΚΟ ΚΟΝΤΣΑΣ	Papingo Ioannina
ΠΑΠΠΑΔΑΤΑΙ	Pappadates Preveza
ΠΑΡ ΠΑΝΟΡΜΟΥ	
ΠΑΡ.ΑΥΛΙΔΟΣ	Paralia Avlidos Evia
ΠΑΡΑΔΕΙΣΙΟΝ	Paradeisi Rhodes
ΠΑΡΑΛ.ΑΣΤΡΟΥΣ	
ΠΑΡΑΛΙΑ ΑΛΜΥΡΟΠΟΤΑΜΟΥ	
ΠΑΡΑΛΙΑ ΕΛΛΗΝΙΚΩΝ	
ΠΑΡΘΕΝΙΟΝ	Partheni Thessaloniki
ΠΑΣΙΟΝ	
ΠΑΤΡΙΚΙΟΝ	
ΠΑΤΡΙΚΩΝ	
ΠΑΥΛΙΑΣ	Pavlia Arcadia
ΠΑΥΛΟ	
ΠΕΔΙΝΟΝ	Pedino Kilkis
ΠΕΛΑΤΕΣ Μ.Τ	
ΠΕΝΤΑΚ/ΡΦΟ	Pentakorfo Etoloakarnania
ΠΕΝΤΑΠΛΑΤΑΝΟΣ	
ΠΕΡΒΟΛ ΚΥΔ	
ΠΕΡΔΙΚΟΝΕΡΙΟΝ Γ	Perdikoneri Gortynia
ΠΕΡΘΩΡΙ	Perthorio Arkadia
ΠΕΡΘΩΡΙΟΝ ΜΑΝΤΙ	
ΠΕΡΙΒΛΕΠΤΟ ΜΑΚΡΑΚΩΜΗΣ	Perivlepto Makrakomi
ΠΕΡΙΒΟΛΑΚΙΟΝ	Perivolaki Thessaloniki
ΠΕΡΙΒΟΛΙ ΔΟΜΟΚΟΥ	
ΠΕΡΙΒΟΛΙΑ ΚΥΔΩΝ	
ΠΕΡΙΒΟΛΙΟΝ ΔΟΜΟ	
ΠΕΡΙΒΟΛΙΟΝ ΦΩΚΙ	Perivoli Fokida
ΠΕΡΙΘΩΡΙ	
ΠΕΡΙΘΏΡΙ	
ΠΕΡΙΘΩΡΙΟΝ	Perithorio Drama
ΠΕΡΙΘΩΡΙΟΝ ΑΙΓΙ	
ΠΕΡΙΞ ΣΕΡΡΩΝ	
ΠΕΡΙΟΝ	Peri Iraklio
ΠΕΡΙΣΣΑ ΕΜΠΟΡΕΙΟΥ	
ΠΕΡΠΑΤΑΡΙ	
ΠΕΣΣΑΔΑ	
ΠΕΤΡΙΑ	
ΠΕΤΡΙΝΑ ΜΕΓΑΛΟΠ	Petrina Megalopolis
ΠΕΤΡΙΟΝ	
ΠΕΤΡΙΤΣΙΟΝ	
ΠΕΤΡΟΚΕΡΑΣΩΝ	Petrokerasa Thessaloniki
ΠΕΤΡΟΠΟΡΟ	Petroporos Trikala
ΠΕΤΣΑΛΙΟΝ	Petsali Ioannina
ΠΕΥΚΑΙ	Pefkes Olympia
ΠΕΥΚΑΙ (ΒΥΛΙΖΑ)	
ΠΗΛΙ	
ΠΗΛΙΟΝ	Pelion Zagora
ΠΙΚΕΡΝΙ	
ΠΙΣΠΙΛΟΥΝΤΑΣ	Pispilounta Chios
ΠΙΤΣΙΝΕΙΚΑ	
ΠΙΤΣΙΟΝ	Pitsi Fthiotida
ΠΛ.ΠΕΡΑΜΑΤΑ	Platia Peramata Iraklio
ΠΛΑΓΙΑ ΠΑΞ	
ΠΛΑΓΙΑΡΙΟΥ	Plagiari Thessaloniki
ΠΛΑΚΑ ΑΠΟΚ	
ΠΛΑΚΑ ΚΛΕΙΤΟΡΙΑΣ	
ΠΛΑΝΗΤΕΡΟΥ	Planitero Kalavryta
ΠΛΑΤΑΜΩΝ	Platamonas Kavala
ΠΛΑΤΑΝΙΟΝ	Platani Patra
ΠΛΑΤΑΝΟΡΕΜΑ	
ΠΛΑΤΑΝΟΣ ΑΙΓΙΑΛ	Platanos Aigialeia
ΠΛΑΤΑΝΟΥΣΑ	
ΠΛΑΤΑΝΟΎΣΑ	
ΠΛΑΤΡΙΘΙΑ	
ΠΝΕΥΜΑΤΙΚΟΣ ΦΑΡΟΣ	
ΠΟΔΟΧΩΡΙΟΝ	Podochori Paggeo
ΠΟΙΜΕΝΙΚΟΝ	Poimeniko Evros
ΠΟΛΕΩΣ ΝΑΞΟΥ	
ΠΟΛΥΛΑΚΚΟΣ	Polylakko Kozani
ΠΟΛΥΝΕΡΙΟΝ	Polineri Thesprotia
ΠΟΛΥΠΟΤΑΜΟΥ	Polipotamo Florina
ΠΟΛΥΡΡΑΧΟΣ	Polyrracho Kozani
ΠΟΛΥΣΤΆΦΥΛΛΟ	
ΠΟΡΟΣ ΚΕΦΑΛΛΗΝ	
ΠΟΡΤΟ ΜΠΟΥΦΑΛΟ	
ΠΟΤΑΜ/ΛΑ Μ	
ΠΟΤΑΜ/ΛΑ Τ	
ΠΟΤΑΜΙΑ ΜΕΓΑΛΟΠ	Potamia Megalopolis
ΠΟΤΙΔΑΝΕΙΑ	
ΠΟΥΛΗΘΡΩΝ	
ΠΟΥΛΙΑΝΑ ΚΑΤΑΦΥΛΛΙΟΥ	
ΠΟΥΡΝΑΡΙΟΝ ΦΘΙΩ	Pournari Fthiotida
ΠΡΑΓΜΑΤΕΥΤΗ	Pragmateftis Arkadia
ΠΡΑΣΙΑΙ	Prasies Rethymno
ΠΡΑΣΙΝΟΝ ΓΟΡΤΥΝ	Prasino Gortynia
ΠΡΑΣΣΕΣ	
ΠΡΑΣΤΟΥ	Prastos Voria Kinouria
ΠΡΑΤΟΒΟΥΝΙ ΣΙΒΙΣΤΑΣ	Pratovouni Agrafa
ΠΡΙΝΙΑΣ ΜΑΛΕΒΥΖΙΟΥ	Prinias Heraklion
ΠΡΟΑΣΤΙΟΝ	Proastio Karditsa
ΠΡΟΔΡΟΜΙΟΝ	Prodromi Souli
ΠΡΟΔΡΟΜΟΣ (ΓΡΑΝΑΣ)	
ΠΡΟΣΒΟΡΟ	
ΠΡΟΣΗΛΙΟΝ	Prosilio Ioannina
ΠΡΟΣΟΤΣ.	
ΠΡΟΣΥΜΝΗ	
ΠΡΟΤΟΡΙΟΝ	
ΠΡΟΤΩΚΛΗΣΙ	
ΠΡΟΦ.ΗΛΙΑΣ	Profitis Ilias Iraklio
ΠΤΕΛΑΙΩΝ	
ΠΤΟΛΕΜΑΙ	
ΠΤΟΛΕΜΑΙΣ	
ΠΥΘΑΓΟΡΕΙΟΝ	Pythagoreio Samos
ΠΥΛΙΟΝ	Pelion Zagora
ΠΥΛΩΝ	Pilonas Rodos
ΠΥΛΩΝΑ	Pilonas Rodos
ΠΥΛΩΡΙ	
ΠΥΡΓΕΛΑΣ	
ΠΥΡΓΙΟΝ	Pirgi Chios
ΠΥΡΓΙΩΤΙΚΩΝ	Pirgiotika Nafplio
ΠΥΡΓΟΥ ΜΑΛΕΒΥΖΙΟΥ	Pirgou Iraklio
ΡΑΓΙΟΝ	Ragio Thesprotia
ΡΑΔΟΒΙΖΙΟΝ	Radovizi Ioannina
ΡΑΧΑΙ	Raches Elis
ΡΑΧΕΣ-ΠΑΡΑΛΙΑ	
ΡΑΧΙΑ	
ΡΑΨΩΜΑΝΙΚΙ	
ΡΑΨΩΜΜΑΤΗ	
ΡΕΓΓΙΝΙ	
ΡΕΓΚΙΝΙΟΝ	Regkini Fthiotida
ΡΕΘΙΟΝ	Rethi Korinthia
ΡΕΤΣΙΝΟΛΑΚΟΣ	
ΡΙΓΑΝΙΟΝ	Rigani Nafpaktia
ΡΙΖΑΙ	Rizes Tripoli
ΡΙΖΟ ΗΓΟΥΜΕΝΙΤΣΑΣ	
ΡΙΖΟΝ	Rizo Skidra
